gene,stability_freq,perm_importance_mean
Cacna1e,2,0.00053814122662178
Mycn,2,0.0005369829550369576
B3galt1,1,0.0005368439525680335
Angpt1,2,0.0005367596085302128
Ccdc88b,0,0.0005364518733484535
Aldh1b1,1,0.0005358457897053248
Ipcef1,2,0.0005344929267921183
Tcea3,1,0.0005332851185057774
Pld4,1,0.0005321027643038323
Gpx1,3,0.0005311999977400061
Ptp4a3,1,0.0005303168425977445
Cxcl1,1,0.0005296946420639825
Gldc,0,0.0005295876028974079
Fosl1,1,0.0005292849044821635
Gfra2,1,0.000526826749444742
Sat2,1,0.0005261463519820487
Rab11fip4,1,0.0005255487322650576
Prkag3,1,0.0005250369194666372
A530001N23Rik,1,0.0005249325809882799
A130050O07Rik,1,0.0005249222351130123
Pcdh12,1,0.0005246874370848253
Bpifc,0,0.0005239216748286312
Gm26581,2,0.0005215860287170247
Tpbg,2,0.000520577390264032
Cldn1,1,0.0005205387323193977
Gm43273,1,0.0005198398476105148
Cd209f,1,0.0005189836393376446
Fads2,1,0.0005186795042275927
Tgm1,0,0.0005183528248441593
Rapgefl1,1,0.0005178073031776087
Mrgprf,1,0.0005171981964333328
Ctsk,1,0.0005171662611390237
Olfr365,1,0.0005167104102396846
Kcp,1,0.000515711794229945
Fbp2,1,0.0005145158858945397
Fstl3,1,0.0005143134978509379
Alox8,1,0.000513886956979237
C1qb,0,0.0005126285661157248
Lat2,0,0.0005125621800390445
Nupr1,1,0.0005121932447328837
Tdrkh,1,0.0005099311355741487
2010016I18Rik,2,0.0005093004952138602
Dlgap5,2,0.0005086336431867844
Pcdhb12,2,0.0005083465934461184
Fndc10,1,0.0005038679471314978
Abca8a,1,0.0005024443426558167
Sh2b2,1,0.0005012555243925409
Wtip,2,0.0004998178107843864
Ltb4r2,1,0.0004994237995558981
Itgb2,1,0.0004991867793767924
Ccl27a,0,0.0004990939951907136
Gm38575,1,0.0004979989085611814
Oxct1,1,0.0004974444793245381
Gdf15,0,0.0004972059980601129
Adgrg6,1,0.0004971278071442264
Gm26684,1,0.0004959021928537034
Cavin3,1,0.000492938971162149
Cyfip2,1,0.0004921390808531933
Lipc,1,0.0004920573038634246
Gm37666,1,0.0004920452580257195
Lurap1l,1,0.0004903884095871835
Serpinb10,1,0.0004899258010266471
Notch3,1,0.0004883379899334517
Sec14l5,1,0.00048789812639575824
BB218582,1,0.00048789356779964653
4933431E20Rik,1,0.00048787188232851664
Gulp1,0,0.00048544132613558276
Sycp3,1,0.0004816569253565994
Olfml2b,1,0.00048123598066871496
Foxr2,0,0.00048115519161886496
Esrrg,1,0.0004807582118642295
Cpe,1,0.00048030870530848537
Gm17922,1,0.0004793817443360715
Acaca,0,0.000478393677262523
Slc27a3,1,0.0004775034542913059
Apol10a,1,0.0004761101195795425
Adamts12,1,0.00047314031057202886
Pnck,1,0.0004713811757921626
Gpr141b,0,0.0004696001114537163
Pcdhga6,1,0.00046913995992445837
Gm6560,0,0.000469098239288579
Elovl6,0,0.00046845081146110743
Fzd9,0,0.00046799499274667865
Panct2,1,0.0004675067011089773
Tbxas1,1,0.00046554687655927515
Tspan12,2,0.00046423039644005726
Vwa3a,2,0.0004639752815478126
Gzma,1,0.0004635033660598364
Ifi206,1,0.0004627765001142925
Gm10419,1,0.00046184755438698487
Lsp1,1,0.00045997676648911194
Gm45552,1,0.00045943780573808323
Tnfrsf4,1,0.0004589257298623472
Tmem240,0,0.00045848333738112145
Pcolce,1,0.0004580222186009842
Ccl24,1,0.0004575013232342662
Tubb2a,1,0.0004566512625531871
Gng11,0,0.0004554998808581012
Cdh24,0,0.0004542216428492063
Mmp17,1,0.0004534354132485485
Serpinb6d,1,0.00045321570093106447
Dlgap1,1,0.0004507904890350134
Plek2,1,0.00044852209075134646
Cass4,2,0.0004484507646306368
Kif1a,1,0.0004480961935725114
Ccdc69,1,0.0004479664364801184
Ankrd45,1,0.00044787106301896745
Ighv14-4,1,0.0004475944544935717
Dchs1,0,0.0004473046239363288
Adamts2,1,0.0004472533596627137
Fhl1,0,0.00044718570471985464
Fut7,1,0.0004471096394564222
Ighv1-55,1,0.0004461659869955503
Kcne4,0,0.0004460338752985127
Pou2f2,0,0.0004446381361893015
Irak1bp1,0,0.0004442628391875925
Lrrc69,1,0.00044411121636888095
Cst6,1,0.00044362455771366214
Zfp982,1,0.00044317999259019253
Baiap3,1,0.00044316243814582765
Plin2,1,0.00044297841873696124
Sh3rf2,2,0.0004422290822443387
Gmpr,1,0.00044181235016228505
Gm42482,1,0.00044176296544842233
Apol10b,1,0.0004417070986634464
Samd14,1,0.0004411684909881641
Klf4,0,0.0004404214715498789
Ppp1r1b,1,0.0004398586851253605
Fabp5,1,0.00043972889425045734
Pdgfra,0,0.00043868245561577983
Sowaha,1,0.0004386419537940056
Cdsn,1,0.0004386027839061613
Olfr16,1,0.0004362427030815019
Dusp2,0,0.00043330740218581185
Ptger3,1,0.00043269476085303624
Mfap2,1,0.00043250275675232874
Plod2,1,0.0004318735434018062
Ahcy,0,0.00043170858910726026
Sln,0,0.0004308543677858489
Igkv4-63,0,0.00043050690178125794
Cd2,1,0.00042973253596291223
Tnnt2,1,0.00042971991348621507
Prkar2b,1,0.0004293473143780924
Cxcl13,1,0.00042855000876856897
Stc1,1,0.00042611497553204366
Fgf10,1,0.00042592309865676633
Sec31b,1,0.00042578573515497095
5430427M07Rik,1,0.0004249691997719851
Gm11407,0,0.00042372111737855046
Gprin2,1,0.0004233961669817931
Crispld1,1,0.0004232254964463111
Large2,0,0.00042260675053680253
Ncaph,2,0.00042182314248324633
Gm48583,1,0.00042151816680253696
Cdca7,0,0.0004205738607068521
Thbs2,1,0.00042041117099718146
Coch,1,0.00042039400248256037
Mpc1,1,0.00041975394162490075
Sh2d4a,0,0.0004188246036958776
Basp1,1,0.0004178244019093058
Gm37347,1,0.0004177198732488008
BB365896,0,0.0004171087839162202
Tgm3,1,0.00041667702514409656
Sned1,1,0.000416475936816918
Birc5,0,0.00041637776610427003
Trim14,1,0.0004163371298515739
Gsta2,1,0.00041613006037383155
Gm27008,0,0.0004157135905103581
Igkv14-126,1,0.000415115684973899
Galnt6,1,0.00041499240046527497
H60c,1,0.0004149897211539578
Cd19,1,0.00041367733434009016
Gm47075,0,0.0004135119848161394
Fibin,0,0.0004134727726278098
Muc5b,0,0.0004134340875116993
4430402I18Rik,0,0.0004131091557260325
Gm48504,1,0.0004129806741971165
Mrap,0,0.00041103402201139174
Spc25,0,0.0004090948446661469
Aplnr,1,0.00040868216367013767
Tppp3,1,0.0004082378222884375
Jakmip1,1,0.0004081982222960967
B430212C06Rik,1,0.0004063217318410862
Gm37632,1,0.0004059423001909312
Card11,0,0.0004052256207114025
AC125351.1,0,0.0004044981990556251
A530032D15Rik,1,0.00040402191399995234
Arhgef39,1,0.0004035431198947115
Grhl2,1,0.000403278504051674
Gm26743,1,0.0004031297863776539
Gm10644,1,0.0004031131003186861
Cd3e,1,0.00040284073588741086
Robo3,1,0.00040277757353539555
Fbn1,1,0.00040232371822802594
Slc39a4,1,0.0004021227920245507
C130012C08Rik,1,0.0004013107652465764
Ptpn5,1,0.0003999997485954254
Ntf3,0,0.0003996739766527258
Fcgr4,1,0.0003984271342032164
Olfr1033,1,0.0003977983481771919
Selp,0,0.0003971153049276754
5830444F18Rik,1,0.00039639645691779134
C87977,0,0.0003960677250620215
Robo1,0,0.00039501017040161063
Trpm2,1,0.0003950030284593953
Nid1,1,0.0003943045018159786
Ercc6l,1,0.0003929948946899687
Efcab8,0,0.0003927027329155286
Ccdc80,1,0.00039139881857017664
Cybrd1,1,0.0003905373949029678
Rrm2,2,0.0003904951880474017
Chst10,1,0.00039045891502917927
Pard3,1,0.0003898131783928505
Slitrk2,0,0.0003897460028520317
Klhl14,0,0.00038908243390943785
Flvcr2,0,0.0003886535850951
Thbs4,1,0.00038712529935273075
Ccdc170,1,0.00038644285640868634
Cdc42ep5,1,0.00038580000928548633
Rasd2,0,0.00038575603616439744
Dscaml1,1,0.0003857361407582305
Fam20c,1,0.0003856318760651733
Slc22a18,0,0.0003851391381877289
Cth,1,0.0003842410745511393
Scnn1a,1,0.00038347344924928307
Cd9,0,0.0003825176427657784
Ccser1,1,0.000381679295434445
Gm47982,0,0.0003816727018275623
Cd72,0,0.0003814139771889047
Camk2n1,1,0.0003812239873657086
Mgst2,1,0.0003811179457063551
Cdca5,1,0.00038011401636941497
Abcc3,0,0.0003779456241379653
Zfp185,1,0.0003778994517479761
Gal3st1,0,0.0003778809491289281
Cyp2j12,0,0.000377501977975614
Atp13a4,1,0.00037556376992723404
F2rl1,0,0.00037527292431744903
Acta2,0,0.0003747381886558765
Gm43112,1,0.00037465100870557325
AC160966.1,1,0.00037459809744123663
Tpd52l1,1,0.00037444122412976226
Scara5,0,0.00037422628295223913
Gm28439,1,0.00037392152375010924
Ifit1bl1,0,0.00037333186067017854
Gamt,0,0.0003731149315361115
Mlc1,0,0.0003728852969404728
Gm12295,1,0.00037287604208672274
Sel1l3,1,0.00037229745465588987
Anxa2,1,0.0003721959460421642
9430064I24Rik,1,0.00037170664973454895
Gm16534,0,0.0003713392954665995
Fam131a,1,0.00037104012088150505
Cttnbp2nl,1,0.0003699618200388999
Aspg,1,0.0003699167140621129
Erg,1,0.0003697555059362423
Dhh,0,0.00036924493179851803
Lum,1,0.00036853335721924734
Hrct1,1,0.00036810987465168976
Gm29825,1,0.000367915940509278
Slc39a8,0,0.0003661973915171757
Gm36948,0,0.00036607319960230145
Gm867,1,0.0003659180661227834
Obscn,0,0.0003656190718451691
Lilrb4a,1,0.0003655348924281987
Spag6,1,0.0003653894823303916
Sfrp2,0,0.00036399662177095666
Pcp4,0,0.0003634601236042867
Arhgef33,0,0.0003629718046449071
Olfml2a,0,0.0003628084249870822
Nlrp6,0,0.0003623321029426974
Cystm1,0,0.0003605031702964001
Kcna2,0,0.000359318700885769
S100a4,0,0.0003592902896650818
Vpreb3,1,0.0003592893975898903
Slc41a3,0,0.00035905938771050303
Ctla2a,1,0.0003586637656580072
Aldh3b1,1,0.0003569796402155934
Dact1,0,0.0003561198913135222
Dnajb3,0,0.00035556668027938445
B230312C02Rik,1,0.0003552151478087407
Pnma1,1,0.00035495623331107675
9330162B11Rik,1,0.0003548704602033714
Slc24a3,0,0.0003546462374417025
Lrp4,1,0.0003546021735413963
Hcls1,1,0.0003545171250810219
Ptprr,1,0.0003542562743647392
Gm765,1,0.0003538607852814568
Sspn,1,0.00035349153131536415
Elane,0,0.0003534111219544722
C030029H02Rik,0,0.000353271924366938
Col11a2,0,0.0003528233675344272
BC043934,0,0.00035263604471843515
Cenpm,1,0.0003526341748664841
Limch1,0,0.00035258732103992106
Boll,1,0.0003523737451162745
Upp1,1,0.00035156516970586966
Ubd,0,0.00035146620956035826
Krt7,0,0.00035112449212182373
Sh3bgrl2,0,0.00034975922435184217
D130058E05Rik,1,0.00034951041927383525
Psd4,0,0.00034944113661863343
Sync,0,0.00034942424972116414
Vtcn1,0,0.00034823660040169676
Nr2f2,0,0.0003480967918842115
Hk3,1,0.000347427242887155
Tmem119,0,0.0003474252398315336
Rbp7,0,0.0003468740487043709
Cdc20,1,0.00034685674559299385
Rab37,1,0.0003466855810369429
Bst1,1,0.0003464101921535345
Fam124b,0,0.00034637550540638217
Gm44175,1,0.0003462528593712433
Haspin,0,0.0003455051788425756
Nox1,1,0.000345461830873417
Slc1a3,0,0.0003446822751464795
Mgp,1,0.00034421568353524277
Penk,0,0.0003440743197139606
Fasl,2,0.0003439286211648796
Trib3,0,0.0003438375795062232
Prlr,1,0.00034360800449764197
Kcnh3,1,0.0003435006285343545
Gm9911,0,0.00034249008071460805
Gata3,1,0.00034238888979331027
Olfr1440,1,0.00034222250094469994
Clec2f,2,0.00034140956261453643
Ngp,0,0.0003413996695669663
Dnase1l3,1,0.00034136625748911744
Gm6377,1,0.0003407617333931245
Clca3a1,1,0.000340199187510204
Ppa1,0,0.00033981869182961864
Adam12,1,0.0003398185758437977
A530021J07Rik,1,0.0003397075346149303
Tmem28,1,0.0003395403740054647
Sema5b,0,0.00033931769074087016
Lyz1,0,0.0003390450440580172
Fam57b,1,0.00033902302751874784
Fstl1,0,0.0003387079933202308
A330015K06Rik,0,0.00033765983208026155
Igkv3-5,0,0.00033765018745849365
Mapk8ip1,0,0.0003374557082185481
9130208D14Rik,0,0.00033722497846657703
Gm26614,1,0.0003368597501541504
Mmp1a,0,0.0003362939292633427
Dclk1,0,0.0003354014313546094
Tchh,0,0.00033538656026468324
Lmo7,0,0.0003343249140819182
Cd8a,0,0.00033421551868927367
Mir133a-1hg,1,0.0003340293619651602
Fbxo27,0,0.0003337093747797671
Ydjc,1,0.00033367130604401436
Apoa1,1,0.00033365017321869135
Ndufa4l2,0,0.00033336513991981674
Col16a1,0,0.00033319178530391016
Eno3,1,0.00033260142819353523
Gm6545,2,0.0003322378611068655
Gm4956,0,0.00033186938355946884
Sdk2,1,0.0003310979541940151
Gdf6,1,0.0003306816863777428
Sirpb1a,1,0.00033040023338182234
Pkhd1l1,1,0.0003300308382333417
Wnt2,0,0.00032986048934374734
Dhdh,1,0.00032968015606660295
Ighv11-2,1,0.00032965160945759293
Syt10,0,0.0003285535810703122
Akr1c13,0,0.00032836321255382824
Trip13,1,0.0003281892253044538
Fabp7,0,0.00032783295951850373
Il1rn,1,0.0003278013140925462
Gm37221,0,0.00032715733467556516
Chrna9,1,0.00032714685200816443
Shisa8,1,0.000326789856106946
C1qtnf12,0,0.0003267568849591673
Slc2a6,0,0.00032606272769805097
Rasl11b,0,0.00032565632276709833
Cox6b2,0,0.000325555822160184
Mrc2,0,0.0003251424250203417
Klrc2,1,0.00032433587489819613
AC129186.2,1,0.0003239140748436121
Gm43185,0,0.000323572922203319
Retnlg,1,0.00032351315192509223
Raet1e,0,0.00032308464580658167
Fam213a,0,0.00032258664357944774
Cbs,0,0.0003223454127070036
Col4a5,0,0.00032210431151570297
AC110166.2,0,0.00032199216572141863
Pcdhga7,1,0.0003217447482775638
Slc16a5,0,0.0003212782695769522
Akr1b7,0,0.0003212177932761518
Acss2,1,0.0003207908508919166
F730016J06Rik,0,0.00032077397474419286
Tpm2,0,0.0003204912557270845
Gm42517,1,0.00032024230971856583
Abcg4,0,0.0003201930324782776
Scml2,0,0.00032012602352635703
C230085N15Rik,0,0.0003201047901007614
Eva1c,0,0.0003196945139861351
Dagla,1,0.0003194240222871958
