K_genes,CV_MAE
10,5.0117896351892295
20,4.366370703575589
50,4.161670512252775
100,4.206779402004021
200,4.302808053590744
400,4.458760561348501
800,4.659107060227499
1200,4.786746496508195
2000,4.995981757577434
